,note_name,start_time,duration,velocity,tempo
0,B3,0.302,13/50,96,120
1,D4,0.302,13/50,96,120
2,G2,0.302,13/50,96,120
3,G4,0.302,13/50,96,120
4,B3,0.667,1.156,98,120
5,E4,0.667,1.156,98,120
6,E2,0.667,1.156,98,120
7,G4,0.667,1.156,98,120
8,E4,1.938,427/1000,104,120
9,G4,1.938,427/1000,104,120
10,E2,1.938,427/1000,104,120
11,B3,1.938,427/1000,104,120
12,F#4,2.49,1.125,105,120
13,D4,2.49,1.125,105,120
14,B3,2.49,1.125,105,120
15,B2,2.49,1.125,105,120
16,B3,3.74,13/50,105,120
17,G4,3.74,13/50,105,120
18,D4,3.74,13/50,105,120
19,G2,3.74,13/50,105,120
20,A2,3.833,167/1000,114,120
21,A2,4.0,4.0,114,120
22,B3,4.0,1/100,105,120
23,G4,4.0,1/100,105,120
24,D4,4.0,1/100,105,120
25,G2,4.0,1/100,105,120
26,C#4,4.073,0.406,103,120
27,A4,4.073,0.406,103,120
28,E4,4.073,0.406,103,120
29,E4,4.667,27/200,63,120
30,C#4,4.667,27/200,63,120
31,A4,4.667,27/200,63,120
32,A4,5.177,167/1000,73,120
33,C#4,5.177,167/1000,73,120
34,E4,5.177,167/1000,73,120
35,C#4,5.635,167/1000,76,120
36,A4,5.635,167/1000,76,120
37,E4,5.635,167/1000,76,120
38,C#4,6.125,26/125,81,120
39,A4,6.125,26/125,81,120
40,E4,6.125,26/125,81,120
41,C#4,6.615,0.219,84,120
42,A4,6.615,0.219,84,120
43,E4,6.615,0.219,84,120
44,A4,7.146,6/25,89,120
45,C#4,7.146,6/25,89,120
46,E4,7.146,6/25,89,120
47,C#4,7.635,0.219,84,120
48,A4,7.635,0.219,84,120
49,E4,7.635,0.219,84,120
50,A2,8.0,927/1000,114,120
51,C#4,8.115,0.25,92,120
52,E4,8.115,0.25,92,120
53,A4,8.115,0.25,92,120
54,C#4,8.604,0.281,104,120
55,E4,8.604,0.344,102,120
56,A4,8.604,0.344,102,120
57,B2,10.031,1.969,95,120
58,B3,10.031,26/125,101,120
59,D4,10.031,26/125,101,120
60,F#3,10.031,26/125,94,120
61,D4,10.031,26/125,94,120
62,D4,10.396,0.281,90,120
63,F#3,10.396,0.281,90,120
64,B3,10.396,0.281,90,120
65,D4,10.885,333/1000,97,120
66,B3,10.885,333/1000,97,120
67,F#3,10.885,333/1000,97,120
68,B3,11.917,83/1000,98,120
69,F#3,11.917,83/1000,98,120
70,D4,11.917,83/1000,98,120
71,B2,12.0,499/100,95,120
72,B3,12.0,0.156,98,120
73,F#3,12.0,0.156,98,120
74,D4,12.0,0.156,98,120
75,F#3,12.396,0.25,82,120
76,D4,12.396,0.25,82,120
77,B3,12.396,0.25,82,120
78,B3,12.896,6/25,92,120
79,F#3,12.896,6/25,92,120
80,D4,12.896,6/25,92,120
81,F#3,13.396,0.406,104,120
82,B3,13.396,0.562,96,120
83,C#4,13.396,0.562,96,120
84,C#4,14.49,0.438,95,120
85,B3,14.49,0.812,109,120
86,F#3,14.49,333/1000,95,120
87,F#3,15.0,0.188,80,120
88,D4,15.0,0.188,80,120
89,D4,15.5,0.406,106,120
90,F#3,15.5,0.406,106,120
91,B3,15.5,0.406,106,120
92,C#4,16.99,0.344,88,120
93,F#3,16.99,6/25,82,120
94,B3,16.99,6/25,82,120
95,B3,17.49,0.375,109,120
96,F#3,17.49,0.344,104,120
97,D4,17.49,0.344,104,120
98,A2,18.021,2479/1000,104,120
99,A3,18.021,0.031,97,120
100,E3,18.021,0.031,97,120
101,D4,18.021,0.031,97,120
102,A3,18.25,6/25,84,120
103,D4,18.25,6/25,84,120
104,E3,18.25,6/25,84,120
105,E3,18.75,13/50,97,120
106,D4,18.75,13/50,97,120
107,A3,18.75,13/50,97,120
108,E3,19.25,323/1000,106,120
109,C#4,19.25,323/1000,106,120
110,A3,19.25,323/1000,106,120
111,B3,19.865,271/1000,101,120
112,E3,19.865,271/1000,101,120
113,A3,19.865,271/1000,101,120
114,C#4,20.146,0.375,104,120
115,E3,20.146,0.375,104,120
116,A3,20.146,0.375,104,120
117,A2,20.552,0.438,95,120
118,B3,20.552,13/250,104,120
119,A3,20.552,13/250,104,120
120,E3,20.552,13/250,104,120
121,A3,20.729,13/50,82,120
122,E3,20.729,13/50,82,120
123,B3,20.729,13/50,82,120
124,A2,20.99,2.344,95,120
125,A3,20.99,1/100,82,120
126,E3,20.99,1/100,82,120
127,B3,20.99,1/100,82,120
128,E3,21.26,6/25,104,120
