,note_name,start_time,duration,velocity,tempo
0,B3,0.302,13/50,96,120
1,D4,0.302,13/50,96,120
2,G2,0.302,13/50,96,120
3,G4,0.302,13/50,96,120
4,B3,0.667,1.156,98,120
5,E4,0.667,1.156,98,120
6,E2,0.667,1.156,98,120
7,G4,0.667,1.156,98,120
8,E4,1.938,427/1000,104,120
9,G4,1.938,427/1000,104,120
10,E2,1.938,427/1000,104,120
11,B3,1.938,427/1000,104,120
12,B2,2.458,227/200,108,120
13,D4,2.458,227/200,108,120
14,B3,2.458,227/200,108,120
15,F#4,2.49,227/200,108,120
16,D4,2.49,227/200,108,120
17,B3,2.49,227/200,108,120
18,B3,3.74,13/50,105,120
19,G4,3.74,13/50,105,120
20,D4,3.74,13/50,105,120
21,G2,3.74,13/50,105,120
22,B3,4.0,1/100,105,120
23,G4,4.0,1/100,105,120
24,D4,4.0,1/100,105,120
25,G2,4.0,1/100,105,120
26,C#4,4.073,0.406,103,120
27,A4,4.073,0.406,103,120
28,E4,4.073,0.406,103,120
29,A2,4.083,3917/1000,114,120
30,E4,4.667,27/200,63,120
31,C#4,4.667,27/200,63,120
32,A4,4.667,27/200,63,120
33,A4,5.177,167/1000,73,120
34,C#4,5.177,167/1000,73,120
35,E4,5.177,167/1000,73,120
36,C#4,5.635,167/1000,76,120
37,A4,5.635,167/1000,76,120
38,E4,5.635,167/1000,76,120
39,C#4,6.125,26/125,81,120
40,A4,6.125,26/125,81,120
41,E4,6.125,26/125,81,120
42,C#4,6.615,0.219,84,120
43,A4,6.615,0.219,84,120
44,E4,6.615,0.219,84,120
45,A4,7.146,6/25,89,120
46,C#4,7.146,6/25,89,120
47,E4,7.146,6/25,89,120
48,C#4,7.635,0.219,84,120
49,A4,7.635,0.219,84,120
50,E4,7.635,0.219,84,120
51,A2,8.0,1177/1000,114,120
52,C#4,8.115,0.25,92,120
53,E4,8.115,0.25,92,120
54,A4,8.115,0.25,92,120
55,C#4,8.604,0.281,104,120
56,E4,8.604,0.344,102,120
57,A4,8.604,0.344,102,120
58,B2,10.031,1.969,95,120
59,B3,10.031,26/125,101,120
60,D4,10.031,26/125,101,120
61,F#3,10.031,26/125,94,120
62,D4,10.031,26/125,94,120
63,D4,10.396,0.281,90,120
64,F#3,10.396,0.281,90,120
65,B3,10.396,0.281,90,120
66,D4,10.885,333/1000,97,120
67,B3,10.885,333/1000,97,120
68,F#3,10.885,333/1000,97,120
69,B3,11.917,83/1000,98,120
70,F#3,11.917,83/1000,98,120
71,D4,11.917,83/1000,98,120
72,B2,12.0,499/100,95,120
73,B3,12.0,0.156,98,120
74,F#3,12.0,0.156,98,120
75,D4,12.0,0.156,98,120
76,F#3,12.396,0.25,82,120
77,D4,12.396,0.25,82,120
78,B3,12.396,0.25,82,120
79,B3,12.896,6/25,92,120
80,F#3,12.896,6/25,92,120
81,D4,12.896,6/25,92,120
82,F#3,13.396,0.406,104,120
83,B3,13.396,0.562,96,120
84,C#4,13.396,0.562,96,120
85,C#4,14.49,0.438,95,120
86,B3,14.49,0.812,109,120
87,F#3,14.49,333/1000,95,120
88,F#3,15.0,0.188,80,120
89,D4,15.0,0.188,80,120
90,D4,15.5,0.406,106,120
91,F#3,15.5,0.406,106,120
92,B3,15.5,0.406,106,120
93,C#4,16.99,0.344,88,120
94,F#3,16.99,6/25,82,120
95,B3,16.99,6/25,82,120
96,B3,17.49,0.375,109,120
97,F#3,17.49,0.344,104,120
98,D4,17.49,0.344,104,120
99,A2,18.021,2479/1000,104,120
100,A3,18.021,0.031,97,120
101,E3,18.021,0.031,97,120
102,D4,18.021,0.031,97,120
103,A3,18.25,6/25,84,120
104,D4,18.25,6/25,84,120
105,E3,18.25,6/25,84,120
106,E3,18.75,13/50,97,120
107,D4,18.75,13/50,97,120
108,A3,18.75,13/50,97,120
109,E3,19.25,323/1000,106,120
110,C#4,19.25,323/1000,106,120
111,A3,19.25,323/1000,106,120
112,B3,19.865,271/1000,101,120
113,E3,19.865,271/1000,101,120
114,A3,19.865,271/1000,101,120
115,C#4,20.146,0.375,104,120
116,E3,20.146,0.375,104,120
117,A3,20.146,0.375,104,120
118,A2,20.552,0.438,95,120
119,B3,20.552,13/250,104,120
120,A3,20.552,13/250,104,120
121,E3,20.552,13/250,104,120
122,A3,20.729,13/50,82,120
123,E3,20.729,13/50,82,120
124,B3,20.729,13/50,82,120
125,A2,20.99,2.344,95,120
126,A3,20.99,1/100,82,120
127,E3,20.99,1/100,82,120
128,B3,20.99,1/100,82,120
